S.No.,Name,Main City,State,Rank
249,"G. S. S. S. Institute of Engineering & Technology for Women",Mysore,Karnataka
250,"Galgotias College of Engineering & Technology",Greater Noida,Uttar Pradesh
251,"Galgotias University",Gautam Budh Nagar,Uttar Pradesh
252,"Gandhi Engieering College (GEC)",Bhubaneswar,Odisha
253,"Gandhi Institute for Education and Technology (GIET), Khurda, Bhubaneswar",Bhubaneswar,Odisha
254,"Gandhi Institute for Technological Advancement ",Bhubaneswar,Odisha
255,"Gandhi Institute for Technology (GIFT)",Bhubaneswar,Odisha
256,"Gandhi Institute of Engineering and Technology",Gunupur,Odisha
257,"Ganga Institute of Technology and Management",Jhajjar,Haryana
258,"Gates Institute of Technology",Gooty,Andhra Pradesh
259,"GATEWAY INSTITUTE OF ENGINEERING & TECHNOLOGY",Sonipat,Haryana
260,"Gandhiji Institute of Science and Technology",Vijayawada,Andhra Pradesh
261,"Gayatri Vidya Parishad College of Engineering",Visakhapatnam,Andhra Pradesh,199
262,"Gayatri Vidya Parishad College of Engineering for Women",Visakhapatnam,Andhra Pradesh
263,"Geetanjali Institute of Technical Studies",Udaipur,Rajasthan
264,"GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY",Rangareddy,Telangana
265,"Geethanjali Institute of Science and Technology",Nellore,Andhra Pradeshy
267,"Girijananda Chowdhury Institute of Management & Technology",Kamrup,Assam
268,"Global Academy of Technology",Bengaluru,Karnataka
269,"Global Institute of Technology",Jaipur,Rajasthan
270,"Goa College of Engineering",Ponda,Goa
271,"Godavari Institute of Engineering & Technology",Rajahmundry,Andhra Pradesh
272,"Gogte Institute of Technology",Belgaum,Karnataka
273,"Gojan School of Business and Technology",Chennai,Tamil Nadu
274,"Goka Raju Ranga Raju Institute of Engineering & Technology",Hyderabad,Telangana,179
275,"Gokula Krishna College of Engineering",Sullurupeta,Andhra Pradesh
276,"Goutami Institute of Technology & Management for Women",Proddatur,Andhra Pradesh
277,"Government Engineering College",Haveri,Karnataka
278,"Government College of Engineering",Kannur,Kerala
279,"Government College of Engineering",Karad,Maharashtra
280,"Government College of Engineering",Salem,Tamil Nadu
281,"Government College of Engineering",Krishnagiri,Tamil Nadu
282,"Government College of Engineering (Academic Autonomous)",Aurangabad,Maharashtra
283,"Government College of Technology",Coimbatore,Tamil Nadu,90
284,"Government Engineering College",JABALPUR,Madhya Pradesh
285,"Government Engineering College",Gandhinagar,Gujarat
286,"Government Engineering College",Palanpur,Gujarat
287,"Government Engineering College",Rajkot,Gujarat
288,"Government Engineering College",Godhra,Gujarat
289,"Government Engineering College",Bharuch,Gujarat
290,"GOVERNMENT ENGINEERING COLLEGE SREEKRISHNAPURAM",Sreekrishnapuram,Kerala
291,"GOVERNMENT ENGINEERING COLLEGE, MODASA 016",Modasa,Gujarat
292,"GOVT. ENGG. COLLEGE, JAGDALPUR, BASTAR, CHHATTISGA",Jagdalpur,Chhattisgarh
293,"Govt. Engineering College",Trivandrum,Kerala
294,"GOVT. ENGINEERING COLLEGE, HASSAN",Hassan,Karnataka
295,"Govt. Engineering College, RAMANAGARA",RAMANAGARA,Karnataka
296,"Govt. Engineering College,Jhalawar",Jhalawar,Rajasthan
297,"Grandhi Varalakshmi Venkata Rao Institute of Technology",Bhimavaram,Andhra Pradesh
298,"Graphic Era University",Dehradun,Uttarakhand,104
299,"Greater Noida Institute of Technology (Engineering Institute)",Greater Noida,Uttar Pradesh
300,"Gudlavalleru Engineering College",Gudlavalleru,Andhra Pradesh
301,"Gujarat Technological University",Ahmedabad,Gujarat
302,"Gulzar Group of Institutions",Khanna,Punjab
303,"Guru Ghasidas Vishwavidyalaya",Bilaspur,Chhattisgarh
304,"Guru Gobind Singh Indraprastha University",New Delhi,Delhi,73
305,"Guru Jambheshwar University of Science and Technology",Hisar,Haryana
306,"GURU NANAK INSTITUTE OF TECHNOLOGY",Ibrahimpatnam,Telangana
307,"Guru Nanak Institutions Technical Campus",Ibrahimpatnam,Telangana
308,"Gurunanak Institute of Technology 143",North Twenty Four Parganas,West Bengal
309,"Gyan Ganga College of Technology",Jabalpur,Madhya Pradesh
310,"Gyan Ganga Institute of Technology Sciences",Jabalpur,Madhya Pradesh
311,"H. V. P. Mandal`s College of Engineering & Technology",AMRAVATI,Maharashtra
312,"Haji Jamaluddin Thim TrustTheem College of Engineering At Village Betegaon Boisar Chikhar Road (N.H.No.8) Near Union Park Boisar(E) Tal Palghar Dist. Thane 401 501",palghar,Maharashtra
313,"Haldia Institute of Technology",Haldia,West Bengal,174
314,"HARCOURT BUTLER TECHNICAL UNIVERSITY",Kanpur Nagar,Uttar Pradesh
315,"Heritage Institute of Technology",Kolkata,West Bengal,151
316,"Hi-Tech Institute of Technology",Aurangabad,Maharashtra
